Ticker,Company Type,QOQ Net Profit (Adjusted),QOQ Actual Income (Adjusted),QOQ Net Profit (Raw),QOQ Actual Income (Raw),YOY Net Profit (Adjusted),YOY Actual Income (Adjusted),YOY Net Profit (Raw),YOY Actual Income (Raw),Error
SHAKTIPUMP,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
CANFINHOME,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
CAPLIPOINT,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
522257,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
KPEL,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
CANBK,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
WIPRO,Non-Finance,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,None
ABBOTINDIA,Non-Finance,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,None
KAYNES,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
RUPA,Non-Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
GANESHHOUC,Non-Finance,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,None
PFC,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
BHAGERIA,Non-Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
NAVINFLUOR,Non-Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
SYRMA,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
CIGNITITEC,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
GRSE,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
SKIPPER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Error fetching https://www.screener.in/company/SKIPPER/consolidated/ for ticker SKIPPER: HTTPSConnectionPool(host='www.screener.in', port=443): Read timed out. (read timeout=10)"
POWERINDIA,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
KEI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Error fetching https://www.screener.in/company/KEI/consolidated/ for ticker KEI: HTTPSConnectionPool(host='www.screener.in', port=443): Read timed out. (read timeout=10)"
KRBL,Non-Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
VINCOFE,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
MANINDS,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
SYNCOMF,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
539997,Non-Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
TRITURBINE,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
506687,Non-Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
BAJFINANCE,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
IREDA,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
AGI,Non-Finance,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,None
ALLETEC,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
SILVERTUC,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
RECLTD,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
CARTRADE,Non-Finance,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,None
BALUFORGE,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
CGCL,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
NATIONALUM,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
KRN,Non-Finance,PASS,PASS,PASS,PASS,N/A,N/A,N/A,N/A,None
SSWL,Non-Finance,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,None
KPIGREEN,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
INDGN,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
LATENTVIEW,Non-Finance,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,None
JBMA,Non-Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,None
VRLLOG,Non-Finance,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,None
KAPSTON,Non-Finance,PASS,PASS,PASS,PASS,N/A,N/A,N/A,N/A,None
JKIL,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
INDIASHLTR,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
CYIENTDLM,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
CHOLAFIN,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
FOSECOIND,Non-Finance,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,None
CUB,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
ZFCVINDIA,Non-Finance,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,None
INDIANB,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
523606,Non-Finance,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,None
HMVL,Non-Finance,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
531201,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
IOB,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
NEWGEN,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
MASFIN,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
REMSONSIND,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
BEL,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
KARURVYSYA,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
MPSLTD,Non-Finance,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,None
ICICIPRULI,Non-Finance,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
AFFLE,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
KRISHANA,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
AADHARHFC,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
NUCLEUS,Non-Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
RPEL,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
APTUS,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
BAJAJHFL,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
BLUEJET,Non-Finance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None
JUBLINGREA,Non-Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
509438,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
CAPITALSFB,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
POWERMECH,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
ENIL,Non-Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
INTERARCH,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
ZAGGLE,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
DEEPAKFERT,Non-Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
DYCL,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
PREMIERENE,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
EMUDHRA,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
PSB,Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
GRAVITA,Non-Finance,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,None
ARVIND,Non-Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
URJA,Non-Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
DELTACORP,Non-Finance,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
MANORAMA,Non-Finance,PASS,PASS,PASS,PASS,N/A,N/A,N/A,N/A,None
GABRIEL,Non-Finance,PASS,PASS,PASS,PASS,N/A,N/A,N/A,N/A,None
TVSMOTOR,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
ANANTRAJ,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
RITCO,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
ELECON,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
AUTOAXLES,Non-Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
NETWEB,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
AVALON,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,None
ZODIAC,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
LAURUSLABS,Non-Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
COFORGE,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
522229,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
BRIGADE,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
UCOBANK,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
BHEL,Non-Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
PNB,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
TEAMLEASE,Non-Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
FSL,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
SOUTHBANK,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
HSCL,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
HLVLTD,Non-Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,None
POLYCAB,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
CMSINFO,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
SRM,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
PERSISTENT,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
AETHER,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
LINC,Non-Finance,PASS,PASS,PASS,PASS,N/A,N/A,N/A,N/A,None
CSBBANK,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
AURIONPRO,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
HOMEFIRST,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
KPIL,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,None
AMIORG,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
EPL,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
MUTHOOTFIN,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
DIVISLAB,Non-Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
SBFC,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
TARIL,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
SONACOMS,Non-Finance,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,None
MAHABANK,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
IDBI,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
MPHASIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Error fetching https://www.screener.in/company/MPHASIS/consolidated/ for ticker MPHASIS: HTTPSConnectionPool(host='www.screener.in', port=443): Read timed out. (read timeout=10)"
AARTIDRUGS,Non-Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
SHREEPUSHK,Non-Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,None
SOLARINDS,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
ASHOKLEY,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
REDINGTON,Non-Finance,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,None
SHAILY,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
BHARATSE,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
NITINSPIN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No financial data tables with valid data found for ticker NITINSPIN
TDPOWERSYS,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
FIVESTAR,Non-Finance,N/A,N/A,N/A,N/A,PASS,PASS,PASS,PASS,None
GOKEX,Non-Finance,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
KROSS,Non-Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,None
NDRAUTO,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
SWSOLAR,Non-Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
NIVABUPA,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
YESBANK,Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
HEROMOTOCO,Non-Finance,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,None
UGROCAP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Error fetching https://www.screener.in/company/UGROCAP/consolidated/ for ticker UGROCAP: HTTPSConnectionPool(host='www.screener.in', port=443): Read timed out. (read timeout=10)"
ASTRAMICRO,Non-Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
